Unique_idx,price
15544,643223.3963290397
17454,476412.54261660203
21548,715848.6087547187
3427,720552.6619841037
8809,230483.76820582058
3294,662474.2243513754
275,537267.081757552
8736,775787.0783791989
6161,563707.3863346418
19832,527900.4261301663
17232,275385.95648415573
1305,437659.8740326455
12702,573885.060949482
12717,365004.46508295834
17327,522293.69330071844
8196,900095.7319081668
13,321609.951874529
13412,782274.3080756916
16484,477802.5628576847
14761,463014.6817772202
1675,264896.11268245894
17478,563841.6576750977
19226,1329204.6024726555
8083,845141.930522183
17237,510265.75882283226
18122,696082.468924854
19836,372780.50393166207
10046,204504.97570760455
13341,444046.42168099433
8040,640194.7542734202
18568,1003864.3914791439
19398,627288.9864138626
13790,235858.96703649499
19649,893531.2132867537
16718,588319.8125021616
19,218880.33149734233
11249,266340.15449730214
4122,440194.1584296115
9632,483186.7315750122
5768,685030.2340953816
1903,367401.8754140781
19629,616614.6855464056
17331,495996.92542804684
12448,451074.8312388938
5014,752517.5392241506
9598,146014.47485265415
6604,822272.3905940689
12280,706401.4579911921
19245,559264.2852854608
20627,408553.25191696733
13888,619169.7976609422
16804,1349092.8670518724
16254,153809.8278074609
16196,607603.986339217
5816,327813.1003842745
12096,812049.9154198198
17180,1136240.9881593678
11768,776424.6255943114
1428,1140262.6341471178
3401,101151.61801391933
2741,535209.3105703145
17958,819021.9735121215
4988,630326.3528434988
3286,168776.70451000147
19771,677742.9535446512
6775,617577.958167431
21026,551356.0795650529
9384,405161.97621367685
19776,450050.21612572204
9551,575103.0432160227
20399,570945.399966131
8520,400480.92833852395
14833,439417.6180236237
17846,489543.7843445996
21321,1214212.575552822
15430,873413.6559840329
8353,609455.5608889293
6227,223613.5647403272
17876,492457.1557553923
9390,940580.314103541
20086,556854.2981811939
219,600733.459641682
20944,817379.1682585664
13620,840472.4086090177
13354,310294.9622442825
9692,315943.2658543624
17429,637542.785821747
20640,899334.584148638
13415,197213.02072562277
3423,570134.2133536963
12103,717970.570981158
18668,521145.5539353471
17598,222233.56282055005
20321,130439.21121281944
15573,393497.0026436625
2011,274005.0270510139
1405,730892.506628613
13825,670250.9494244782
8420,545874.9761176584
6240,608861.8201020816
15842,648832.9567944566
8347,587435.772264909
7182,418855.8367392821
6197,842891.5626412714
20773,401363.3235999374
17016,690572.8789640767
12804,349743.27132648975
2684,395939.5174853895
19631,228846.2520027524
17599,130923.26705105137
5879,79592.53320302721
10654,367365.3129168572
1901,431988.29981712066
19138,128490.31015164778
20392,647224.0730412742
16406,566892.8202152792
18137,617651.0283450931
5914,508677.3395351693
14575,114626.87176985014
11871,1853250.8620882146
13285,547603.0769650517
13490,307926.81901942194
21165,680457.8289864464
15718,369544.8701525014
352,323354.22212305944
15278,884682.6014407454
16543,201099.0720997397
6454,553642.9163596733
18327,849018.7343935566
16864,334198.0542545803
5789,672128.3515923098
18346,635632.9517572606
694,797036.552954427
1955,658281.1446115067
8249,258830.00265682768
7019,347934.2015186129
16466,664203.6615117732
7962,509621.7467260128
938,258281.479210997
14560,372464.4709731173
18703,472184.66035618354
14676,56668.53982802108
14925,502226.7074097423
17633,604625.0918729631
21399,734674.6923967777
14098,469706.1790049337
16636,608944.5089937653
13646,486183.9257040769
4102,160448.13098285906
9465,307087.31537558045
2525,536719.8659392893
7275,514946.139790223
12445,455218.64909304865
14599,486125.779528602
6247,399322.99302146304
484,1109217.8238844862
8705,740061.5525392722
21233,605374.088203012
11675,423144.86356535554
5531,469400.0463777492
7355,247023.58403186407
4163,306029.0568781784
4933,275707.0783908339
5061,631631.621964178
9941,530829.694629225
16990,335716.71588542033
3309,345059.77459488343
6086,360253.4942668462
9802,386767.9940760685
290,366714.0646579368
