Unnamed: 0,Buy
17685,1
17686,0
17687,1
17688,1
17689,0
17690,0
17691,0
17692,1
17693,1
17694,0
17695,1
17696,1
17697,0
17698,0
17699,1
17700,1
17701,0
17702,0
17703,0
17704,0
17705,1
17706,0
17707,0
17708,0
17709,0
17710,0
17711,1
17712,1
17713,0
17714,1
17715,0
17716,1
17717,1
17718,1
17719,1
17720,1
17721,0
17722,1
17723,0
17724,0
17725,0
17726,1
17727,0
17728,1
17729,0
17730,0
17731,0
17732,0
17733,1
17734,1
17735,1
17736,1
17737,1
17738,0
17739,0
17740,1
17741,1
17742,1
17743,1
17744,1
17745,1
17746,1
17747,1
17748,0
17749,1
17750,1
17751,1
17752,1
17753,0
17754,1
17755,1
17756,1
17757,1
17758,1
17759,1
17760,0
17761,1
17762,0
17763,0
17764,0
17765,0
17766,1
17767,1
17768,1
17769,1
17770,1
17771,1
17772,1
17773,1
17774,1
17775,0
17776,1
17777,1
17778,1
17779,1
17780,1
17781,1
17782,0
17783,1
17784,1
17785,1
17786,1
17787,1
17788,1
17789,1
17790,0
17791,1
17792,0
17793,0
17794,0
17795,1
17796,1
17797,0
17798,0
17799,1
17800,0
17801,1
17802,0
17803,0
17804,1
17805,1
17806,1
17807,0
17808,1
17809,0
17810,0
17811,0
17812,0
17813,1
17814,1
17815,0
17816,0
17817,1
17818,0
17819,1
17820,1
17821,1
17822,0
17823,0
17824,1
17825,0
17826,1
17827,0
17828,1
17829,1
17830,1
17831,0
17832,1
17833,1
17834,1
17835,0
17836,1
17837,1
17838,0
17839,1
17840,0
17841,1
17842,1
17843,1
17844,0
17845,1
17846,1
17847,1
17848,1
17849,0
17850,0
17851,1
17852,1
17853,1
17854,1
17855,1
17856,1
17857,0
17858,0
17859,1
17860,1
17861,1
17862,1
17863,0
17864,0
17865,1
17866,1
17867,1
17868,1
17869,1
17870,1
17871,0
17872,0
17873,0
17874,1
17875,1
17876,0
17877,0
17878,1
17879,0
17880,0
17881,1
17882,1
17883,1
17884,0
17885,1
17886,1
17887,0
17888,1
17889,1
17890,1
17891,0
17892,1
17893,0
17894,0
17895,0
17896,0
17897,1
17898,0
17899,0
17900,1
17901,0
17902,0
17903,1
17904,1
17905,1
17906,1
17907,0
17908,1
17909,0
17910,1
17911,1
17912,0
17913,1
17914,1
17915,1
17916,1
17917,0
17918,1
17919,1
17920,1
17921,1
17922,0
